,rewards
1246,10.0
1247,29.0
1248,17.0
1249,23.0
1250,33.0
1251,15.0
1252,42.0
1253,30.0
1254,11.0
1255,25.0
1256,20.0
1257,29.0
1258,11.0
1259,27.0
1260,19.0
1261,21.0
1262,14.0
1263,25.0
1264,15.0
1265,36.0
1266,11.0
1267,24.0
1268,11.0
1269,31.0
1270,22.0
1271,30.0
1272,25.0
1273,21.0
1274,13.0
1275,55.0
1276,35.0
1277,34.0
1278,21.0
1279,49.0
1280,24.0
1281,24.0
1282,27.0
1283,11.0
1284,35.0
1285,11.0
1286,21.0
1287,19.0
1288,30.0
1289,10.0
1290,27.0
1291,11.0
1292,11.0
1293,187.0
1294,127.0
1295,10.0
1296,19.0
1297,49.0
1298,12.0
1299,10.0
1300,37.0
1301,49.0
1302,12.0
1303,10.0
1304,31.0
1305,16.0
1306,28.0
1307,25.0
1308,21.0
1309,34.0
1310,11.0
1311,41.0
1312,24.0
1313,29.0
1314,18.0
1315,33.0
1316,27.0
1317,11.0
1318,53.0
1319,17.0
1320,23.0
1321,35.0
1322,32.0
1323,53.0
1324,31.0
1325,43.0
1326,27.0
1327,23.0
1328,38.0
1329,16.0
1330,11.0
1331,29.0
1332,48.0
1333,41.0
1334,55.0
1335,31.0
1336,37.0
1337,28.0
1338,16.0
1339,32.0
1340,22.0
1341,30.0
1342,15.0
1343,57.0
1344,29.0
1345,32.0
1346,41.0
1347,37.0
1348,21.0
1349,30.0
1350,21.0
1351,31.0
1352,27.0
1353,28.0
1354,15.0
1355,31.0
1356,36.0
1357,33.0
1358,24.0
1359,21.0
1360,24.0
1361,16.0
1362,28.0
1363,23.0
1364,11.0
1365,29.0
1366,20.0
1367,33.0
1368,26.0
1369,38.0
1370,23.0
1371,23.0
1372,19.0
1373,200.0
1374,26.0
1375,27.0
1376,51.0
1377,35.0
1378,19.0
1379,59.0
1380,21.0
1381,200.0
1382,23.0
1383,27.0
1384,49.0
1385,24.0
1386,21.0
1387,28.0
1388,27.0
1389,39.0
1390,26.0
1391,41.0
1392,17.0
1393,41.0
1394,15.0
1395,22.0
1396,23.0
1397,39.0
1398,24.0
1399,41.0
1400,26.0
1401,36.0
1402,48.0
1403,27.0
1404,42.0
1405,20.0
1406,22.0
1407,36.0
1408,21.0
1409,16.0
1410,32.0
1411,70.0
1412,26.0
1413,38.0
1414,32.0
1415,18.0
1416,20.0
1417,34.0
1418,44.0
1419,29.0
1420,27.0
1421,48.0
1422,26.0
1423,15.0
1424,31.0
1425,28.0
1426,23.0
1427,31.0
1428,28.0
1429,28.0
1430,56.0
1431,28.0
1432,12.0
1433,14.0
1434,39.0
1435,36.0
1436,200.0
1437,22.0
1438,23.0
1439,31.0
1440,22.0
1441,12.0
1442,200.0
1443,25.0
1444,24.0
1445,30.0
1446,22.0
1447,42.0
1448,24.0
1449,29.0
1450,24.0
1451,17.0
1452,26.0
1453,46.0
1454,23.0
1455,10.0
1456,12.0
1457,26.0
1458,25.0
1459,200.0
1460,29.0
1461,19.0
1462,12.0
1463,11.0
1464,30.0
1465,12.0
1466,27.0
1467,19.0
1468,200.0
1469,22.0
1470,149.0
1471,52.0
1472,10.0
1473,34.0
1474,24.0
1475,37.0
1476,170.0
1477,9.0
1478,35.0
1479,200.0
1480,25.0
1481,8.0
1482,16.0
1483,11.0
1484,15.0
1485,34.0
1486,200.0
1487,29.0
1488,200.0
1489,11.0
1490,200.0
1491,22.0
1492,9.0
1493,200.0
1494,30.0
1495,12.0
1496,200.0
1497,21.0
1498,18.0
1499,22.0
1500,8.0
1501,8.0
1502,37.0
1503,25.0
1504,8.0
1505,9.0
1506,45.0
1507,23.0
1508,9.0
1509,24.0
1510,24.0
1511,75.0
1512,25.0
1513,25.0
1514,9.0
1515,10.0
1516,20.0
1517,44.0
1518,8.0
1519,8.0
1520,55.0
1521,51.0
1522,31.0
1523,33.0
1524,9.0
1525,29.0
1526,8.0
1527,8.0
1528,19.0
1529,27.0
1530,10.0
1531,8.0
1532,24.0
1533,8.0
1534,200.0
1535,40.0
1536,9.0
1537,25.0
1538,8.0
1539,200.0
1540,123.0
1541,31.0
1542,11.0
1543,40.0
1544,9.0
1545,9.0
1546,11.0
1547,23.0
1548,9.0
1549,21.0
1550,39.0
1551,9.0
1552,10.0
1553,17.0
1554,107.0
1555,8.0
1556,9.0
1557,19.0
1558,35.0
1559,17.0
1560,9.0
1561,27.0
1562,87.0
1563,10.0
1564,9.0
1565,13.0
1566,200.0
1567,9.0
1568,24.0
1569,11.0
1570,8.0
1571,30.0
1572,10.0
1573,8.0
1574,19.0
1575,39.0
1576,47.0
1577,8.0
1578,9.0
1579,9.0
1580,29.0
1581,25.0
1582,10.0
1583,9.0
1584,31.0
1585,9.0
1586,9.0
1587,17.0
1588,29.0
1589,51.0
1590,10.0
1591,10.0
1592,53.0
1593,9.0
1594,39.0
1595,10.0
1596,40.0
1597,19.0
1598,55.0
1599,15.0
1600,31.0
1601,200.0
1602,9.0
1603,29.0
1604,9.0
1605,9.0
1606,9.0
1607,15.0
1608,35.0
1609,51.0
1610,10.0
1611,8.0
1612,35.0
1613,9.0
1614,27.0
1615,200.0
1616,73.0
1617,200.0
1618,9.0
1619,8.0
1620,53.0
1621,30.0
1622,28.0
1623,39.0
1624,20.0
1625,9.0
1626,34.0
1627,18.0
1628,10.0
1629,9.0
1630,10.0
1631,31.0
1632,9.0
1633,15.0
1634,34.0
1635,27.0
1636,11.0
1637,9.0
1638,10.0
1639,9.0
1640,9.0
1641,15.0
1642,9.0
1643,9.0
1644,10.0
1645,9.0
1646,9.0
1647,23.0
1648,10.0
1649,18.0
1650,12.0
1651,12.0
1652,9.0
1653,12.0
1654,17.0
1655,19.0
1656,10.0
1657,8.0
1658,9.0
1659,8.0
1660,10.0
1661,9.0
1662,10.0
1663,11.0
1664,9.0
1665,15.0
1666,8.0
1667,9.0
1668,9.0
1669,16.0
1670,13.0
1671,11.0
1672,9.0
1673,9.0
1674,8.0
1675,15.0
1676,9.0
1677,17.0
1678,9.0
1679,9.0
1680,9.0
1681,9.0
1682,15.0
1683,8.0
1684,9.0
1685,9.0
1686,8.0
1687,11.0
1688,12.0
1689,9.0
1690,10.0
1691,9.0
1692,10.0
1693,8.0
1694,8.0
1695,9.0
1696,11.0
1697,9.0
1698,15.0
1699,9.0
1700,8.0
1701,13.0
1702,9.0
1703,11.0
1704,9.0
1705,8.0
1706,11.0
1707,9.0
1708,10.0
1709,15.0
1710,9.0
1711,17.0
1712,10.0
1713,19.0
1714,19.0
1715,9.0
1716,8.0
1717,10.0
1718,9.0
1719,8.0
1720,9.0
1721,20.0
1722,13.0
1723,10.0
1724,28.0
1725,19.0
1726,19.0
1727,10.0
1728,11.0
1729,10.0
1730,9.0
1731,13.0
1732,18.0
1733,10.0
1734,26.0
1735,10.0
1736,9.0
1737,8.0
1738,33.0
1739,11.0
1740,11.0
1741,9.0
1742,17.0
1743,9.0
1744,8.0
1745,11.0
1746,10.0
1747,14.0
1748,10.0
1749,10.0
1750,9.0
1751,9.0
1752,9.0
1753,8.0
1754,18.0
1755,9.0
1756,17.0
1757,9.0
1758,8.0
1759,16.0
1760,13.0
1761,8.0
1762,10.0
1763,10.0
1764,11.0
1765,9.0
1766,9.0
1767,9.0
1768,9.0
1769,17.0
1770,33.0
1771,9.0
1772,9.0
